Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_TIP,Index_MCP,Index_PIP,Index_DIP,Index_TIP,Middle_MCP,Middle_PIP,Middle_DIP,Middle_TIP,Ring_MCP,Ring_PIP,Ring_DIP,Ring_TIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_TIP,Letter,Class_Index,ImagePath
"[0.42791181802749634, 0.5570704936981201, -0.011557326652109623]","[0.46826398372650146, 0.49517136812210083, -0.023584842681884766]","[0.4832800030708313, 0.44172045588493347, -0.037569284439086914]","[0.4782871901988983, 0.3980851173400879, -0.05111895874142647]","[0.436653733253479, 0.43475720286369324, -0.014289571903645992]","[0.44319087266921997, 0.41335418820381165, -0.02998022921383381]","[0.4306751489639282, 0.46805718541145325, -0.03630175441503525]","[0.4221336841583252, 0.51258784532547, -0.04089777544140816]","[0.40414851903915405, 0.43218281865119934, -0.02309485152363777]","[0.40962451696395874, 0.425838828086853, -0.049814242869615555]","[0.40275949239730835, 0.49014967679977417, -0.06473767012357712]","[0.3989006280899048, 0.5430930852890015, -0.07212786376476288]","[0.37202924489974976, 0.4374975860118866, -0.03223397955298424]","[0.38010358810424805, 0.43677759170532227, -0.055828843265771866]","[0.37759360671043396, 0.4995315372943878, -0.06364639103412628]","[0.3773021101951599, 0.5474092960357666, -0.06656832247972488]","[0.3420811891555786, 0.44874438643455505, -0.043115291744470596]","[0.3498309552669525, 0.4448014795780182, -0.05608002841472626]","[0.3546280562877655, 0.49236246943473816, -0.05831902101635933]","[0.35806792974472046, 0.5298802852630615, -0.05913231149315834]",A,0.0,.\ASL_Data\ASL_Validate\A\A9.jpg
"[0.4267868995666504, 0.5363919138908386, -0.01318855956196785]","[0.46882301568984985, 0.47152549028396606, -0.02578812837600708]","[0.48445749282836914, 0.4155953824520111, -0.04013819620013237]","[0.48349982500076294, 0.36783674359321594, -0.05365012213587761]","[0.44175270199775696, 0.41741031408309937, -0.013204679824411869]","[0.44886186718940735, 0.38877084851264954, -0.028392203152179718]","[0.43465352058410645, 0.4434276521205902, -0.0334257073700428]","[0.42441943287849426, 0.4877902865409851, -0.03678518533706665]","[0.4088987112045288, 0.41324782371520996, -0.02056153491139412]","[0.41382598876953125, 0.3985055387020111, -0.04789351299405098]","[0.40424731373786926, 0.46324610710144043, -0.062019456177949905]","[0.39858633279800415, 0.514326810836792, -0.06744493544101715]","[0.37527966499328613, 0.4163356423377991, -0.02854965813457966]","[0.38079583644866943, 0.4078962802886963, -0.051744453608989716]","[0.37668073177337646, 0.4718863368034363, -0.05845322459936142]","[0.3755521774291992, 0.5192983746528625, -0.0596451573073864]","[0.34284937381744385, 0.42476019263267517, -0.038300883024930954]","[0.35006725788116455, 0.4141438603401184, -0.049719683825969696]","[0.3542322516441345, 0.46243032813072205, -0.05101325362920761]","[0.3576773703098297, 0.49991506338119507, -0.05067545548081398]",A,0.0,.\ASL_Data\ASL_Validate\A\A19.jpg
"[0.45844805240631104, 0.5220727920532227, -0.017092416062951088]","[0.5028583407402039, 0.45423832535743713, -0.03016768954694271]","[0.5178922414779663, 0.39487576484680176, -0.04417260363698006]","[0.5197529792785645, 0.34786009788513184, -0.05774573236703873]","[0.4800780415534973, 0.40105071663856506, -0.020454350858926773]","[0.48429688811302185, 0.36694929003715515, -0.03615114092826843]","[0.4658949673175812, 0.4233471751213074, -0.04030713438987732]","[0.45493608713150024, 0.47215285897254944, -0.04362621530890465]","[0.4445953667163849, 0.39339911937713623, -0.02674589864909649]","[0.44517120718955994, 0.37677448987960815, -0.055060844868421555]","[0.43324965238571167, 0.44441860914230347, -0.06943050026893616]","[0.42823684215545654, 0.4967494606971741, -0.07539515942335129]","[0.40926283597946167, 0.394426554441452, -0.03377856686711311]","[0.41117048263549805, 0.3840188980102539, -0.05852701514959335]","[0.4060889482498169, 0.4526989459991455, -0.06682135164737701]","[0.40665677189826965, 0.5031137466430664, -0.06932206451892853]","[0.37488555908203125, 0.40180373191833496, -0.04277398809790611]","[0.3805990219116211, 0.39437082409858704, -0.05654570460319519]","[0.3837180733680725, 0.44599053263664246, -0.059516020119190216]","[0.38830387592315674, 0.48444315791130066, -0.060327548533678055]",A,0.0,.\ASL_Data\ASL_Validate\A\A29.jpg
"[0.5100535750389099, 0.5175085067749023, -0.022535135969519615]","[0.5572293996810913, 0.44703277945518494, -0.03754483908414841]","[0.5717771649360657, 0.38472142815589905, -0.05257967486977577]","[0.5715097784996033, 0.3354247212409973, -0.0672326534986496]","[0.5322407484054565, 0.3867325484752655, -0.023436466231942177]","[0.5379120111465454, 0.3520139455795288, -0.03992590308189392]","[0.5210979580879211, 0.4081401228904724, -0.04484123736619949]","[0.5109350085258484, 0.45619773864746094, -0.048457954078912735]","[0.4949851930141449, 0.3809281885623932, -0.02714168280363083]","[0.4963904321193695, 0.35996830463409424, -0.057032737880945206]","[0.4866914451122284, 0.4297276437282562, -0.07246199995279312]","[0.482573926448822, 0.48383355140686035, -0.07841216772794724]","[0.45762765407562256, 0.3840426206588745, -0.032063037157058716]","[0.45923498272895813, 0.3689819872379303, -0.05946652963757515]","[0.45606914162635803, 0.4409519135951996, -0.06881153583526611]","[0.45674023032188416, 0.49407872557640076, -0.07096809893846512]","[0.42126449942588806, 0.393953412771225, -0.039323870092630386]","[0.42508524656295776, 0.37828969955444336, -0.055424995720386505]","[0.42959967255592346, 0.43199849128723145, -0.05951095372438431]","[0.4344556927680969, 0.4734343886375427, -0.060436610132455826]",A,0.0,.\ASL_Data\ASL_Validate\A\A39.jpg
"[0.49169304966926575, 0.495183527469635, -0.019206084311008453]","[0.5462987422943115, 0.4129354655742645, -0.03331226855516434]","[0.5644387602806091, 0.3389135003089905, -0.04890894517302513]","[0.5670198798179626, 0.28051477670669556, -0.06390290707349777]","[0.5223378539085388, 0.3399921953678131, -0.017735494300723076]","[0.5333824753761292, 0.3034467101097107, -0.033488620072603226]","[0.5132489800453186, 0.3645447790622711, -0.037773389369249344]","[0.500232458114624, 0.41599053144454956, -0.04163004085421562]","[0.4814615845680237, 0.33076199889183044, -0.025285745039582253]","[0.48508042097091675, 0.308463454246521, -0.05553990602493286]","[0.4718579947948456, 0.3846816420555115, -0.07134158164262772]","[0.4658118784427643, 0.4447470009326935, -0.07779481261968613]","[0.43765515089035034, 0.33212512731552124, -0.033986493945121765]","[0.44188493490219116, 0.3178536891937256, -0.061656877398490906]","[0.43523046374320984, 0.39848220348358154, -0.06991754472255707]","[0.4332870543003082, 0.4587417542934418, -0.07154253870248795]","[0.39379459619522095, 0.3420916497707367, -0.045123886317014694]","[0.40148115158081055, 0.32632091641426086, -0.060579825192689896]","[0.4052388668060303, 0.38859426975250244, -0.06323438137769699]","[0.4085868299007416, 0.4366152882575989, -0.06332139670848846]",A,0.0,.\ASL_Data\ASL_Validate\A\A49.jpg
"[0.5524677634239197, 0.4593755006790161, -0.024790441617369652]","[0.6206002831459045, 0.3633364140987396, -0.04396174103021622]","[0.6444991827011108, 0.275660902261734, -0.06515849381685257]","[0.6426390409469604, 0.20495319366455078, -0.08536738902330399]","[0.5846951007843018, 0.2804449498653412, -0.02458268031477928]","[0.6003251075744629, 0.22212308645248413, -0.04602891206741333]","[0.5773031115531921, 0.30066195130348206, -0.0511021614074707]","[0.5622284412384033, 0.36451637744903564, -0.05553089827299118]","[0.5360460877418518, 0.27433153986930847, -0.034571751952171326]","[0.5450127124786377, 0.22953322529792786, -0.07721911370754242]","[0.5287219285964966, 0.3271973729133606, -0.09738852083683014]","[0.5197655558586121, 0.40176939964294434, -0.10376651585102081]","[0.4842270612716675, 0.2792098820209503, -0.0461941733956337]","[0.4944946765899658, 0.24188600480556488, -0.08486301451921463]","[0.48613494634628296, 0.342475026845932, -0.09475552290678024]","[0.4826001524925232, 0.4157097637653351, -0.0947999507188797]","[0.43126195669174194, 0.2927318513393402, -0.060740843415260315]","[0.4447324275970459, 0.25435352325439453, -0.08227419853210449]","[0.44926419854164124, 0.32797732949256897, -0.08540350198745728]","[0.4523006081581116, 0.38578659296035767, -0.08465444296598434]",A,0.0,.\ASL_Data\ASL_Validate\A\A59.jpg
"[0.562036395072937, 0.43689271807670593, -0.025083204731345177]","[0.6349782943725586, 0.33372676372528076, -0.04452623799443245]","[0.6603457927703857, 0.2405817210674286, -0.06669120490550995]","[0.6574239134788513, 0.1658545732498169, -0.08783073723316193]","[0.5982310771942139, 0.2404506355524063, -0.021208668127655983]","[0.6149029731750488, 0.17835256457328796, -0.04314032196998596]","[0.5912877917289734, 0.2624127268791199, -0.04860750958323479]","[0.5757925510406494, 0.33051928877830505, -0.05337349325418472]","[0.5456944108009338, 0.23413290083408356, -0.0325193852186203]","[0.555097758769989, 0.18760550022125244, -0.07764648646116257]","[0.539094865322113, 0.29428309202194214, -0.0995546355843544]","[0.5299405455589294, 0.3760843873023987, -0.10621269792318344]","[0.48907139897346497, 0.2394149750471115, -0.045723844319581985]","[0.4987863600254059, 0.20197488367557526, -0.08688634634017944]","[0.4901159405708313, 0.3124219477176666, -0.09771829098463058]","[0.48611727356910706, 0.3921657204627991, -0.09747793525457382]","[0.43097949028015137, 0.2541017234325409, -0.06207524612545967]","[0.44461825489997864, 0.2128009796142578, -0.08413486182689667]","[0.44959378242492676, 0.2938993573188782, -0.08716394007205963]","[0.4524011015892029, 0.35727542638778687, -0.08600160479545593]",A,0.0,.\ASL_Data\ASL_Validate\A\A69.jpg
"[0.5983132719993591, 0.4291890859603882, -0.019717790186405182]","[0.6697340607643127, 0.32250484824180603, -0.035462308675050735]","[0.6943409442901611, 0.22798645496368408, -0.05496762692928314]","[0.6965157985687256, 0.15443626046180725, -0.07353779673576355]","[0.631973385810852, 0.22872963547706604, -0.013393515720963478]","[0.6466997861862183, 0.1681608259677887, -0.03216315805912018]","[0.6235232949256897, 0.2568703293800354, -0.036140281707048416]","[0.6093363761901855, 0.3308906555175781, -0.04045048728585243]","[0.5764979720115662, 0.22041438519954681, -0.02648307755589485]","[0.5859567523002625, 0.18054576218128204, -0.06704647839069366]","[0.571519672870636, 0.2906282842159271, -0.08851918578147888]","[0.5630443096160889, 0.3749256134033203, -0.09621689468622208]","[0.5184382200241089, 0.22515712678432465, -0.041210826486349106]","[0.5293795466423035, 0.19240610301494598, -0.07835403829813004]","[0.5218489170074463, 0.30273184180259705, -0.09004943072795868]","[0.5184817910194397, 0.3824390769004822, -0.09179026633501053]","[0.45993638038635254, 0.23882153630256653, -0.0586705282330513]","[0.47432971000671387, 0.2029235064983368, -0.07852901518344879]","[0.4799151122570038, 0.2832278907299042, -0.08185309171676636]","[0.4829578101634979, 0.3448740541934967, -0.0817631259560585]",A,0.0,.\ASL_Data\ASL_Validate\A\A79.jpg
"[0.672942042350769, 0.41141122579574585, -0.01431302446871996]","[0.7434901595115662, 0.30744606256484985, -0.029322171583771706]","[0.768118143081665, 0.21619416773319244, -0.049825385212898254]","[0.7649223208427429, 0.14528964459896088, -0.06937648355960846]","[0.7046797871589661, 0.2186819165945053, -0.006196383852511644]","[0.7258566617965698, 0.15385207533836365, -0.025670267641544342]","[0.7067384123802185, 0.23678360879421234, -0.030354823917150497]","[0.6922186017036438, 0.3100513815879822, -0.0346694216132164]","[0.6520708799362183, 0.21147815883159637, -0.022602660581469536]","[0.6712141036987305, 0.16233554482460022, -0.06398891657590866]","[0.657713770866394, 0.2642309367656708, -0.08576754480600357]","[0.6469007730484009, 0.3463204801082611, -0.09292986989021301]","[0.5949171781539917, 0.21502073109149933, -0.04071749374270439]","[0.6161777377128601, 0.17550525069236755, -0.07696489989757538]","[0.6068934202194214, 0.2826106548309326, -0.08630888909101486]","[0.5989898443222046, 0.3624054193496704, -0.08624735474586487]","[0.5359823107719421, 0.22657789289951324, -0.06151340529322624]","[0.5601559281349182, 0.1849491000175476, -0.07972849160432816]","[0.5659067034721375, 0.26261991262435913, -0.08085490763187408]","[0.5657230615615845, 0.3244682550430298, -0.07916606217622757]",A,0.0,.\ASL_Data\ASL_Validate\A\A89.jpg
"[0.7445945143699646, 0.3990899324417114, -0.006284018978476524]","[0.8118289709091187, 0.2931266129016876, -0.01898093894124031]","[0.8334985375404358, 0.20230665802955627, -0.038659580051898956]","[0.8293343186378479, 0.1333846151828766, -0.05724508315324783]","[0.7713282108306885, 0.20775681734085083, -0.0008402203675359488]","[0.8003664612770081, 0.1432478427886963, -0.017805764451622963]","[0.7835795283317566, 0.22652016580104828, -0.02055034413933754]","[0.7689594030380249, 0.29730224609375, -0.02389325387775898]","[0.7194271087646484, 0.20121942460536957, -0.020757006481289864]","[0.7469193339347839, 0.15042798221111298, -0.060474786907434464]","[0.7331839203834534, 0.2517247200012207, -0.08016646653413773]","[0.7190909385681152, 0.3330422043800354, -0.08571779727935791]","[0.6629274487495422, 0.20398423075675964, -0.04121661186218262]","[0.6937099695205688, 0.16310609877109528, -0.07380907982587814]","[0.6836622953414917, 0.27017897367477417, -0.07963475584983826]","[0.6712387204170227, 0.3485040068626404, -0.07758087664842606]","[0.6045268774032593, 0.21512152254581451, -0.0638381764292717]","[0.6375470757484436, 0.1710176169872284, -0.07830309122800827]","[0.6422079801559448, 0.24715574085712433, -0.07633117586374283]","[0.6374260187149048, 0.30720290541648865, -0.07281573116779327]",A,0.0,.\ASL_Data\ASL_Validate\A\A99.jpg
